Date,Close
2020-01-02,2175.17
2020-01-03,2176.46
2020-01-06,2155.07
2020-01-07,2175.54
2020-01-08,2151.31
2020-01-09,2186.45
2020-01-10,2206.39
2020-01-13,2229.26
2020-01-14,2238.88
2020-01-15,2230.98
2020-01-16,2248.05
2020-01-17,2250.57
2020-01-20,2262.64
2020-01-21,2239.69
2020-01-22,2267.25
2020-01-23,2246.13
2020-01-28,2176.72
2020-01-29,2185.28
2020-01-30,2148
2020-02-03,2118.88
2020-02-04,2157.9
2020-02-05,2165.63
2020-02-06,2227.94
2020-02-07,2211.95
2020-02-10,2201.07
2020-02-11,2223.12
2020-02-12,2238.38
2020-02-13,2232.96
2020-02-14,2243.59
2020-02-18,2208.88
2020-02-19,2210.34
2020-02-20,2195.5
2020-02-21,2162.84
2020-02-24,2079.04
2020-02-25,2103.61
2020-02-26,2076.77
2020-02-27,2054.89
2020-02-28,1987.01
2020-03-02,2002.51
2020-03-03,2014.15
2020-03-04,2059.33
2020-03-05,2085.26
2020-03-06,2040.22
2020-03-09,1954.77
2020-03-10,1962.93
2020-03-11,1908.27
2020-03-12,1834.33
2020-03-13,1771.44
2020-03-16,1714.86
2020-03-17,1672.44
2020-03-18,1591.2
2020-03-19,1457.64
2020-03-20,1566.15
2020-03-23,1482.46
2020-03-24,1609.97
2020-03-25,1704.76
2020-03-26,1686.24
2020-03-27,1717.73
2020-03-30,1717.12
2020-03-31,1754.64
2020-04-01,1685.46
2020-04-02,1724.86
2020-04-03,1725.44
2020-04-06,1791.88
2020-04-07,1823.6
2020-04-08,1807.14
2020-04-09,1836.21
2020-04-10,1860.7
2020-04-13,1825.76
2020-04-14,1857.08
2020-04-16,1857.07
2020-04-17,1914.53
2020-04-20,1898.36
2020-04-21,1879.38
2020-04-23,1914.73
2020-04-24,1889.01
2020-04-27,1922.77
2020-04-28,1934.09
2020-04-29,1947.56
2020-05-04,1895.37
2020-05-06,1928.76
2020-05-08,1945.82
2020-05-11,1935.4
2020-05-12,1922.17
2020-05-13,1940.42
2020-05-14,1924.96
2020-05-15,1927.28
2020-05-18,1937.11
2020-05-19,1980.61
2020-05-20,1989.64
2020-05-21,1998.31
2020-05-22,1970.13
2020-05-25,1994.6
2020-05-26,2029.78
2020-05-27,2031.2
2020-05-28,2028.54
2020-05-29,2029.6
2020-06-01,2065.08
2020-06-02,2087.19
2020-06-03,2147
2020-06-04,2151.18
2020-06-05,2181.87
2020-06-08,2184.29
2020-06-09,2188.92
2020-06-10,2195.69
2020-06-11,2176.78
2020-06-12,2132.3
2020-06-15,2030.82
2020-06-16,2138.05
2020-06-17,2141.05
2020-06-18,2133.48
2020-06-19,2141.32
2020-06-22,2126.73
2020-06-23,2131.24
2020-06-24,2161.51
2020-06-25,2112.37
2020-06-26,2134.65
2020-06-29,2093.48
2020-06-30,2108.33
2020-07-01,2106.7
2020-07-02,2135.37
2020-07-03,2152.41
2020-07-06,2187.93
2020-07-07,2164.17
2020-07-08,2158.88
2020-07-09,2167.9
2020-07-10,2150.25
2020-07-13,2186.06
2020-07-14,2183.61
2020-07-15,2201.88
2020-07-16,2183.76
2020-07-17,2201.19
2020-07-20,2198.2
2020-07-21,2228.83
2020-07-22,2228.66
2020-07-23,2216.19
2020-07-24,2200.44
2020-07-27,2217.86
2020-07-28,2256.99
2020-07-29,2263.16
2020-07-30,2267.01
2020-07-31,2249.37
2020-08-03,2251.04
2020-08-04,2279.97
2020-08-05,2311.86
2020-08-06,2342.61
2020-08-07,2351.67
2020-08-11,2418.67
2020-08-12,2432.35
2020-08-13,2437.53
2020-08-14,2407.49
2020-08-18,2348.24
2020-08-19,2360.54
2020-08-20,2274.22
2020-08-21,2304.59
2020-08-24,2329.83
2020-08-25,2366.73
2020-08-26,2369.32
2020-08-27,2344.45
2020-08-28,2353.8
2020-08-31,2326.17
2020-09-01,2349.55
2020-09-02,2364.37
2020-09-03,2395.9
2020-09-04,2368.25
2020-09-07,2384.22
2020-09-08,2401.91
2020-09-09,2375.81
2020-09-10,2396.48
2020-09-14,2427.91
2020-09-15,2443.58
2020-09-16,2435.92
2020-09-17,2406.17
2020-09-18,2412.4
2020-09-21,2389.39
2020-09-22,2332.59
2020-09-23,2333.24
2020-09-24,2272.7
2020-09-25,2278.79
2020-09-28,2308.08
2020-09-29,2327.89
2020-10-05,2358
2020-10-06,2365.9
2020-10-07,2386.94
2020-10-08,2391.96
2020-10-12,2403.73
2020-10-13,2403.15
2020-10-14,2380.48
2020-10-15,2361.21
2020-10-16,2341.53
2020-10-19,2346.74
2020-10-20,2358.41
2020-10-21,2370.86
2020-10-22,2355.05
2020-10-23,2360.81
2020-10-26,2343.91
2020-10-27,2330.84
2020-10-28,2345.26
2020-10-29,2326.67
2020-10-30,2267.15
2020-11-02,2300.16
2020-11-03,2343.31
2020-11-04,2357.32
2020-11-05,2413.79
2020-11-06,2416.5
2020-11-09,2447.2
2020-11-10,2452.83
2020-11-11,2485.87
2020-11-12,2475.62
2020-11-13,2493.87
2020-11-16,2543.03
2020-11-17,2539.15
2020-11-18,2545.64
2020-11-19,2547.42
2020-11-20,2553.5
2020-11-23,2602.59
2020-11-24,2617.76
2020-11-25,2601.54
2020-11-26,2625.91
2020-11-27,2633.45
2020-11-30,2591.34
2020-12-01,2634.25
2020-12-02,2675.9
2020-12-03,2696.22
2020-12-04,2731.45
2020-12-07,2745.44
2020-12-08,2700.93
2020-12-09,2755.47
2020-12-10,2746.46
2020-12-11,2770.06
2020-12-14,2762.2
2020-12-15,2756.82
2020-12-16,2771.79
2020-12-17,2770.43
2020-12-18,2772.18
2020-12-21,2778.65
2020-12-22,2733.68
2020-12-23,2759.82
2020-12-24,2806.86
2020-12-28,2808.6
2020-12-29,2820.51
2020-12-30,2873.47
2021-01-04,2944.45
2021-01-05,2990.57
2021-01-06,2968.21
2021-01-07,3031.68
2021-01-08,3152.18
2021-01-11,3148.45
2021-01-12,3125.95
2021-01-13,3148.29
2021-01-14,3149.93
2021-01-15,3085.9
2021-01-18,3013.93
2021-01-19,3092.66
2021-01-20,3114.55
2021-01-21,3160.84
2021-01-22,3140.63
2021-01-25,3208.99
2021-01-26,3140.31
2021-01-27,3122.56
2021-01-28,3069.05
2021-01-29,2976.21
2021-02-01,3056.53
2021-02-02,3096.81
2021-02-03,3129.68
2021-02-04,3087.55
2021-02-05,3120.63
2021-02-08,3091.24
2021-02-09,3084.67
2021-02-10,3100.58
2021-02-15,3147
2021-02-16,3163.25
2021-02-17,3133.73
2021-02-18,3086.66
2021-02-19,3107.62
2021-02-22,3079.75
2021-02-23,3070.09
2021-02-24,2994.98
2021-02-25,3099.69
2021-02-26,3012.95
2021-03-02,3043.87
2021-03-03,3082.99
2021-03-04,3043.49
2021-03-05,3026.26
2021-03-08,2996.11
2021-03-09,2976.12
2021-03-10,2958.12
2021-03-11,3013.7
2021-03-12,3054.39
2021-03-15,3045.71
2021-03-16,3067.17
2021-03-17,3047.5
2021-03-19,3039.53
2021-03-22,3035.46
2021-03-23,3004.74
2021-03-24,2996.35
2021-03-25,3008.33
2021-03-26,3041.01
2021-03-29,3036.04
2021-03-30,3070
2021-03-31,3061.42
2021-04-01,3087.4
2021-04-02,3112.8
2021-04-05,3120.83
2021-04-06,3127.08
2021-04-07,3137.41
2021-04-08,3143.26
2021-04-09,3131.88
2021-04-12,3135.59
2021-04-13,3169.08
2021-04-14,3182.38
2021-04-15,3194.33
2021-04-16,3198.62
2021-04-19,3198.84
2021-04-20,3220.7
2021-04-21,3171.66
2021-04-22,3177.52
2021-04-23,3186.1
2021-04-26,3217.53
2021-04-27,3215.42
2021-04-28,3181.47
2021-04-29,3174.07
2021-04-30,3147.86
2021-05-03,3127.2
2021-05-04,3147.37
2021-05-06,3178.74
2021-05-07,3197.2
2021-05-10,3249.3
2021-05-11,3209.43
2021-05-12,3161.66
2021-05-13,3122.11
2021-05-14,3153.32
2021-05-17,3134.52
2021-05-18,3173.05
2021-05-20,3162.28
2021-05-21,3156.42
2021-05-24,3144.3
2021-05-25,3171.32
2021-05-26,3168.43
2021-05-27,3165.51
2021-05-28,3188.73
2021-05-31,3203.92
2021-06-01,3221.87
2021-06-02,3224.23
2021-06-03,3247.43
2021-06-04,3240.08
2021-06-07,3252.12
2021-06-08,3247.83
2021-06-09,3216.18
2021-06-10,3224.64
2021-06-11,3249.32
2021-06-14,3252.13
2021-06-15,3258.63
2021-06-16,3278.68
2021-06-17,3264.96
2021-06-18,3267.93
2021-06-21,3240.79
2021-06-22,3263.88
2021-06-23,3276.19
2021-06-24,3286.1
2021-06-25,3302.84
2021-06-28,3301.89
2021-06-29,3286.68
2021-06-30,3296.68
2021-07-01,3282.06
2021-07-02,3281.78
2021-07-05,3293.21
2021-07-06,3305.21
2021-07-07,3285.34
2021-07-08,3252.68
2021-07-09,3217.95
2021-07-12,3246.47
2021-07-13,3271.38
2021-07-14,3264.81
2021-07-15,3286.22
2021-07-16,3276.91
2021-07-19,3244.04
2021-07-20,3232.7
2021-07-21,3215.91
2021-07-22,3250.21
2021-07-23,3254.42
2021-07-26,3224.95
2021-07-27,3232.53
2021-07-28,3236.86
2021-07-29,3242.65
2021-07-30,3202.32
2021-08-02,3223.04
2021-08-03,3237.14
2021-08-04,3280.38
2021-08-05,3276.13
2021-08-06,3270.36
2021-08-09,3260.42
2021-08-10,3243.19
2021-08-11,3220.62
2021-08-12,3208.38
2021-08-17,3143.09
2021-08-18,3158.93
2021-08-19,3097.83
2021-08-20,3060.51
2021-08-23,3090.21
2021-08-24,3138.3
2021-08-25,3146.81
2021-08-26,3128.53
2021-08-27,3133.9
2021-08-30,3144.19
2021-08-31,3199.27
2021-09-01,3207.02
2021-09-02,3175.85
2021-09-03,3201.06
2021-09-06,3203.33
2021-09-07,3187.42
2021-09-08,3162.99
2021-09-09,3114.7
2021-09-10,3125.76
2021-09-13,3127.86
2021-09-14,3148.83
2021-09-15,3153.4
2021-09-16,3130.09
2021-09-17,3140.51
2021-09-23,3127.58
2021-09-24,3125.24
2021-09-27,3133.64
2021-09-28,3097.92
2021-09-29,3060.27
2021-09-30,3068.82
2021-10-01,3019.18
2021-10-05,2962.17
2021-10-06,2908.31
2021-10-07,2959.46
2021-10-08,2956.3
2021-10-12,2916.38
2021-10-13,2944.41
2021-10-14,2988.64
2021-10-15,3015.06
2021-10-18,3006.68
2021-10-19,3029.04
2021-10-20,3013.13
2021-10-21,3007.33
2021-10-22,3006.16
2021-10-26,3049.08
2021-10-27,3025.49
2021-10-28,3009.55
2021-10-29,2970.68
2021-11-01,2978.94
2021-11-02,3013.49
2021-11-03,2975.71
2021-11-04,2983.22
2021-11-05,2969.27
2021-11-08,2960.2
2021-11-09,2962.46
2021-11-10,2930.17
2021-11-11,2924.92
2021-11-12,2968.8
2021-11-15,2999.52
2021-11-16,2997.21
2021-11-17,2962.42
2021-11-18,2947.38
2021-11-19,2971.02
2021-11-22,3013.25
2021-11-23,2997.33
2021-11-24,2994.29
2021-11-25,2980.27
2021-11-26,2936.44
2021-11-29,2909.32
2021-11-30,2839.01
2021-12-01,2899.72
2021-12-02,2945.27
2021-12-03,2968.33
2021-12-07,2991.72
2021-12-08,3001.8
2021-12-09,3029.57
2021-12-10,3010.23
2021-12-13,3001.66
2021-12-14,2987.95
2021-12-15,2989.39
2021-12-16,3006.41
2021-12-17,3017.73
